S,E,N,W
12.422189304366093,0.7417253538328232,0.8414335919056803,8.85031788543024
32.62491686249155,5.404104908145375,5.975639602060276,23.094495600729473
73.14190754165523,26.649041169903654,19.484270464468363,66.75411305444945
57.37813622387687,30.701917782607104,24.65525561956138,83.64315634471939
69.10127944517842,77.40872651603208,55.6234150692168,150.54787918197013
71.31521473016073,108.50649426143511,75.8503588976468,140.14412694943485
98.78721250290013,188.6550516145503,104.86949219230445,194.46029972847373
149.40112848691814,221.06785062415693,103.34106615214364,219.6582794421342
166.41643999251414,178.3380911101675,69.14020514761367,158.11842752737428
198.14611967609179,84.71897363462607,42.61993084197785,128.18686376709647
150.6286342006969,30.83858962505432,20.583573961865252,87.05460123436823
46.16372368442171,2.8852462216779102,3.5861950844113393,23.67496199885347
