S,E,N,W
-122.55003391704531,-25.017214172536764,37.576723814873816,11.85547549909031
-74.76223521794273,-42.56381054931885,29.47636908189236,16.481862925963302
30.282329160463497,-31.23606464431169,28.76112423003824,61.64964043497131
60.1428881722276,13.775935835954794,29.185756176136838,88.85495855828603
69.3962066055529,76.92467847558225,55.949232765106,151.02073568176377
71.31521473016073,108.50649426143511,75.8503588976468,140.14412694943485
98.78721250290013,188.6550516145503,104.86949219230445,194.46029972847373
149.40112848691814,221.06785062415693,103.34106615214364,219.6582794421342
166.41643999251414,178.3380911101675,69.14020514761367,158.11842752737428
198.57732899074801,85.17929818265638,43.22233809295188,128.7738022891619
98.96470783719332,-1.461552888788745,30.270284528633375,97.24454660838884
-63.139504423770305,-8.575058823968607,32.06862464330026,25.169629735419
