S,E,N,W
-134.9722232214114,-25.758939526369588,36.73529022296813,3.00515761366007
-107.38715208043428,-47.96791545746423,23.500729479832085,-6.612632674766172
-42.85957838119173,-57.88510581421534,9.276853765569879,-5.104472619478136
2.7647519483507272,-16.92598194665231,4.530500556575458,5.211802213566646
0.2949271603744807,-0.4840480404498276,0.3258176958891986,0.4728564997936303
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.4312093146562342,0.46032454803032025,0.6024072509740317,0.5869385220654186
-51.66392636350358,-32.30014251384306,9.686710566768122,10.189945374020617
-109.30322810819202,-11.460305045646518,28.482429558888924,1.4946677365655305
