S,E,N,W
-120.94902640341769,-13.609915337753328,53.93877081039309,26.476741507774083
-116.66061750915415,-25.70142614284392,33.51517433635586,-12.902379323966645
-93.29464978139072,-80.84048599756333,12.565085930696817,-17.111942491769312
-5.19650771262609,-48.727056326642504,3.511568106557921,4.2462771235778245
-0.7724859337625012,-4.867860104106688,-0.40553202013292683,0.23979514821433173
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.7227991131608813,-1.9269428693321766,2.9505764178528766,2.9752281736300743
-64.07813391878037,-28.751859055658713,14.86331718157786,8.443324977919957
-156.6692381360386,-11.885830802547572,44.44669159643189,8.99280049485773
