S,E,N,W
0.0030189728199046,0.00022432437351716913,0.00014158809253270226,0.0004956335268893045
0.005227737367320962,0.000565681711057128,0.0003436608086386044,0.00262202011976472
0.00677546176010654,0.0014861971884919814,0.0010815272080181549,0.0034293984011336343
13.497358929045337,5.299608515742794,4.451981878323648,22.029181737935268
43.178275309715225,27.594443869550986,19.82689468872608,66.95748864584056
54.20837711872571,40.10158862690085,32.15394636232298,84.85356732940457
71.97136057105067,64.9428750608588,39.49843594392915,77.75283717670295
127.3976580198442,106.83284227939124,57.917080687639,135.80737898098116
99.96549906026048,41.43212841491062,26.078783707671192,60.42984815584198
65.74267451823937,14.187218577206075,9.737217023521803,41.613491791046606
0.004647149284062253,0.0005004601967687858,0.0003360414619734644,0.0013457908033693785
0.00197466223819363,0.00016355534341671945,8.811720472060505e-05,0.0005241744792058255
