S,E,N,W
0.6239441785187407,0.03255222922035444,0.04766913438170922,0.3010671986115948
10.755533187316239,1.2684870741865961,1.6634004610129387,6.434522696056175
33.53313106165321,9.339201343248492,9.960330976867107,39.93492766086826
68.45231714420662,39.61770162604466,27.684135262506622,79.19194253915815
52.56900112253322,48.73644087534694,36.50231163131947,87.6277406954047
70.12393452054259,90.91203837367776,63.88280704090273,103.43669151727629
121.93238437237761,160.04740630056938,107.41852087732386,195.68060217488807
140.73534129457485,164.83053483620145,97.43818140341709,175.4611780323567
124.1910063117432,94.93890087258931,53.707660746442,123.92773872950323
123.23160133660903,38.113560945031224,23.46992260059251,72.36685877720303
52.76010480903031,9.08499886141303,7.578016200203551,25.327370206430388
0.00950916765277889,0.001046582753348502,0.0005110299504968706,0.003534716722879484
