Date/Time,1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly) 
 06/26  09:00:00,0.0,756414.0498760706,448958.2046081206,0.0,182157.64042537124,50913.83748541762,0.0,224414.16089654597,105312.54255912652,0.0,536115.3743692045,285906.85515321436,0.0,251565.92037481454,110084.88382561147,0.0,264124.6547681786,108212.08317769002,0.0,1046413.0210883089,489360.37448001606,0.0,328468.6738268632,181692.11141297367,0.0,1341266.2830244373,464938.5535199271,0.0,993296.7724338506,395790.2321049521,0.0,1150699.9466521963,377334.6631351755,0.0,798258.2116711637,254893.41131811985,0.0,2816157.3973098695,902999.6492717472 
 06/26  10:00:00,0.0,982965.0525896687,434141.85834177263,0.0,238504.27178877464,48544.96517927413,0.0,266794.57429453265,101163.96149790878,0.0,710386.0058904598,271447.0680610266,0.0,330153.5068722556,103809.43728899141,0.0,343891.75659210695,102220.56017436058,0.0,1469369.2675651368,451891.5461848541,0.0,368816.6298263672,176538.33208908932,0.0,1947823.6527698734,417614.5310034944,0.0,1456994.1914884283,352939.8044055549,0.0,1647478.2335733117,336495.61809789913,0.0,940109.987056744,243629.9481141083,0.0,4042111.743044597,795031.7010002056 
 06/26  11:00:00,0.0,1219779.7245364005,385781.75402674446,0.0,291057.2746701095,46439.74308701532,0.0,307069.9047341241,94323.39519984317,0.0,878104.5493009384,238880.17939989647,0.0,407410.8431173283,94139.43876453987,0.0,420696.0219071604,93813.01674200248,0.0,1888184.2219432776,390503.92127915914,0.0,412852.35713118716,166190.95754185918,0.0,2567285.2937603756,373081.252145778,0.0,1920132.0614527934,304558.55128917005,0.0,2126814.987225235,302653.6677466098,0.0,1038932.0185958687,232786.52455358178,0.0,5180125.505361864,712646.3705419683 
 06/26  12:00:00,0.0,1522092.3916813857,343494.27244941134,0.0,340652.69048069406,42667.09484221671,0.0,334749.34577346663,85573.12718437178,0.0,1065663.5684327378,214058.51355051665,0.0,491670.00246970425,85436.72020750765,0.0,503005.34276180516,85409.27485938666,0.0,2353900.025022263,352708.9016315114,0.0,448031.49453237106,150261.48531868294,0.0,3245267.2541658026,341438.5648493442,0.0,2423774.5031915335,277497.3778458355,0.0,2594747.387382501,277303.19811505114,0.0,1036175.4272703654,213471.74647730318,0.0,6220938.486507165,653271.1963502712 
 06/26  13:00:00,0.0,1841037.1389618204,322185.5039681051,0.0,384079.01086961926,40202.99679407502,0.0,359673.32303687383,80542.25225145576,0.0,1246600.0889066376,201228.0697324274,0.0,573178.0308925286,80450.0634212601,0.0,608302.0701963009,80436.18779126916,0.0,2798409.9202654245,332083.34066060366,0.0,510678.2892177247,141168.33702697887,0.0,3733688.3019579677,321646.13999869267,0.0,2794437.503065074,261405.41234151763,0.0,2919822.700484647,261247.4851507612,0.0,1014821.8455257935,201247.18855322825,0.0,6895066.556860976,615462.0350101447 
 06/26  14:00:00,0.0,2073002.3587297176,303415.71903735434,0.0,410694.0904659071,37921.092719953034,0.0,384623.6319795676,75861.81482458538,0.0,1360639.7551512674,189622.51560375752,0.0,626185.4012037537,75844.53736250591,0.0,762104.8264915433,75831.62687467922,0.0,3150845.7243681215,313154.5834022907,0.0,633152.4370269653,132801.9439205214,0.0,3792327.9328736127,303500.4022796624,0.0,2851403.3665350964,246624.6119407951,0.0,2969311.097791458,246492.06177781697,0.0,1032067.2617660589,189644.23460579076,0.0,6956119.906357933,580702.171125542 
 06/26  15:00:00,0.0,2156596.8448508773,281191.5183629981,0.0,415403.5933793078,35137.91480406017,0.0,409049.14596040774,70306.20977780384,0.0,1378214.610689313,175744.25457869863,0.0,636650.5730345019,70290.87365889494,0.0,929296.4577702617,70264.20181787452,0.0,3330671.7156345183,290182.6847476142,0.0,789194.9108691951,123020.7687182758,0.0,3483425.1463696957,281217.88190668897,0.0,2620444.7117489763,228530.31334747595,0.0,2743215.0397112616,228399.300478783,0.0,1051823.7563548936,175768.05195909634,0.0,6413143.770487986,538078.9228807171 
 06/26  16:00:00,0.0,2174339.390320436,280720.79277619836,0.0,409598.26572036825,35073.43347209795,0.0,429557.04044017877,70193.62717105806,0.0,1364048.0279006376,175451.25470380037,0.0,630725.5006913566,70169.60543374554,0.0,1071074.4490665607,70114.15640844237,0.0,3422555.2894232646,289638.34118440776,0.0,933952.8103909872,122807.02877011776,0.0,3112700.582604983,280736.07278391015,0.0,2347431.356649722,228144.17954063273,0.0,2470270.3674954576,228008.26254588237,0.0,1075212.9986120986,175486.31225462086,0.0,5749305.354263746,537162.9044927862 
 06/26  17:00:00,0.0,2065592.5848250212,303770.08582429256,0.0,396241.5832917267,37958.193625518885,0.0,448031.8353729535,75945.88624408029,0.0,1288253.8794640438,189856.72323871986,0.0,600665.9034237334,75934.28974570232,0.0,1119674.621766766,75886.86512567391,0.0,3277029.816342634,313472.7107687472,0.0,1022171.1003622657,132880.92947725658,0.0,2679321.3613315383,303851.01286269183,0.0,2006911.3543879315,246921.66240519955,0.0,2120273.842924685,246780.19228053765,0.0,1119532.2528697462,189865.05846571838,0.0,4900901.334102498,581387.5809176452 
 06/26  18:00:00,0.0,1904627.6199985933,330786.2534658179,0.0,390662.76009483554,41355.54687939712,0.0,469099.5285457566,82694.17979484751,0.0,1210508.587460177,206742.02458410105,0.0,572965.5064374786,82701.67866051396,0.0,1059074.988208055,82720.8149781083,0.0,2923942.7185304696,341515.72939371,0.0,1033088.0434859549,144728.37335510354,0.0,2232772.9708281765,330948.2218762823,0.0,1652099.5485253797,268915.6835089709,0.0,1756515.8591646957,268779.0625174437,0.0,1148011.5319455473,206734.56047070157,0.0,4003289.9270546413,633197.1451365144 
