Date/Time,1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly) 
 11/26  23:00:00,2128900.0942669,0.0,0.0,422603.1861422181,0.0,0.0,450913.9595697056,0.0,0.0,1327742.3413020023,0.0,0.0,665183.1986980486,0.0,0.0,604875.2691650885,0.0,0.0,2117357.7713252087,0.0,0.0,730253.4493412502,0.0,0.0,2086194.7805534857,0.0,0.0,1735944.8411478605,0.0,0.0,1855443.9747483945,0.0,0.0,1432250.965199573,0.0,0.0,4216791.685921087,0.0,0.0 
 11/26  24:00:00,2189193.8808854157,0.0,0.0,434939.05208660907,0.0,0.0,467869.943099661,0.0,0.0,1365183.313612398,0.0,0.0,684168.025126261,0.0,0.0,627995.3256881895,0.0,0.0,2204912.046436264,0.0,0.0,762111.3954987982,0.0,0.0,2208781.7686723135,0.0,0.0,1807375.9339795683,0.0,0.0,1949999.0644222014,0.0,0.0,1476569.200085262,0.0,0.0,4392393.551342318,0.0,0.0 
 11/27  01:00:00,2257539.956879979,0.0,0.0,448541.7829988416,0.0,0.0,486637.52647558344,0.0,0.0,1408236.6220263785,0.0,0.0,705154.8223829928,0.0,0.0,652808.2263529476,0.0,0.0,2293525.564884549,0.0,0.0,796392.7756557963,0.0,0.0,2325930.0829629228,0.0,0.0,1876073.2273141213,0.0,0.0,2040598.1007090337,0.0,0.0,1526336.1309715894,0.0,0.0,4569055.25746203,0.0,0.0 
 11/27  02:00:00,2335219.2496762583,0.0,0.0,460244.33980667935,0.0,0.0,502148.24558473955,0.0,0.0,1451669.1229587921,0.0,0.0,724449.8471203411,0.0,0.0,676011.9576822759,0.0,0.0,2370493.5495455973,0.0,0.0,824822.0381940248,0.0,0.0,2425344.7481520083,0.0,0.0,1932245.276873563,0.0,0.0,2112225.635976134,0.0,0.0,1563925.2761933303,0.0,0.0,4720151.036818672,0.0,0.0 
 11/27  03:00:00,2408917.330974195,0.0,0.0,469733.3631832711,0.0,0.0,513714.2408709157,0.0,0.0,1490916.1420813338,0.0,0.0,741368.8996348424,0.0,0.0,696478.1567786055,0.0,0.0,2431042.6497618197,0.0,0.0,847120.8035398329,0.0,0.0,2500478.220970935,0.0,0.0,1969457.3383900563,0.0,0.0,2160216.63108961,0.0,0.0,1584871.8856892283,0.0,0.0,4828815.480005839,0.0,0.0 
 11/27  04:00:00,2458204.7012307085,0.0,0.0,478041.9903255354,0.0,0.0,527009.6718469083,0.0,0.0,1520033.4505428122,0.0,0.0,755398.3387643183,0.0,0.0,713899.8778539954,0.0,0.0,2491225.3498482713,0.0,0.0,874702.1661683274,0.0,0.0,2576798.071470263,0.0,0.0,2014666.6259543123,0.0,0.0,2220398.603817651,0.0,0.0,1619108.5206458797,0.0,0.0,4943295.617406055,0.0,0.0 
 11/27  05:00:00,2501185.19199518,0.0,0.0,485615.56306316284,0.0,0.0,540512.5910704255,0.0,0.0,1544874.5594157355,0.0,0.0,767350.0459662996,0.0,0.0,728428.7586328158,0.0,0.0,2534100.5194879547,0.0,0.0,900431.7646309702,0.0,0.0,2632786.6547746034,0.0,0.0,2043928.5576438222,0.0,0.0,2261803.3793162117,0.0,0.0,1653738.7351328614,0.0,0.0,5023658.82214932,0.0,0.0 
 11/27  06:00:00,2545000.2826998727,0.0,0.0,493462.39475292846,0.0,0.0,552750.5891877868,0.0,0.0,1570613.7399348817,0.0,0.0,779634.902206585,0.0,0.0,742307.792424784,0.0,0.0,2571356.3312762566,0.0,0.0,922619.6180191444,0.0,0.0,2676266.8594427407,0.0,0.0,2064728.2297875416,0.0,0.0,2293360.838399933,0.0,0.0,1684596.0813779924,0.0,0.0,5086163.127575378,0.0,0.0 
 11/27  07:00:00,2569163.1376064606,0.0,0.0,496096.66676648613,0.0,0.0,559917.2553058594,0.0,0.0,1582041.2345124101,0.0,0.0,785183.1286561675,0.0,0.0,750907.3500538737,0.0,0.0,2591209.2456492777,0.0,0.0,940980.0195189737,0.0,0.0,2698449.646494766,0.0,0.0,2073008.799765415,0.0,0.0,2310309.258361444,0.0,0.0,1699355.3479305024,0.0,0.0,5107923.250669139,0.0,0.0 
 11/27  08:00:00,2536626.439943183,0.0,0.0,486938.2758731397,0.0,0.0,561035.0628229512,0.0,0.0,1554585.3857553666,0.0,0.0,773641.9333755093,0.0,0.0,738824.5669390869,0.0,0.0,2464358.9587984174,0.0,0.0,950599.6716091164,0.0,0.0,2461981.37041433,0.0,0.0,1892759.054516646,0.0,0.0,2108328.2128318753,0.0,0.0,1648064.0887738643,0.0,0.0,4602253.304211012,0.0,0.0 
 11/27  09:00:00,2484003.4471151764,0.0,0.0,490262.0803621324,0.0,0.0,576738.3536916401,0.0,0.0,1529209.822523482,0.0,0.0,769023.3923605068,0.0,0.0,736443.5996689394,0.0,0.0,2407420.5804096498,0.0,0.0,974069.02473279,0.0,0.0,2383865.8728203527,0.0,0.0,1813879.7085023755,0.0,0.0,2056686.108236622,0.0,0.0,1728283.0614448262,0.0,0.0,4459907.782006698,0.0,0.0 
 11/27  10:00:00,2408754.3185817795,0.0,0.0,453754.41378914425,0.0,0.0,545755.5104807509,0.0,0.0,1444807.1409804472,0.0,0.0,725257.7769599189,0.0,0.0,696507.1222826192,0.0,0.0,2105820.024419161,0.0,0.0,947251.0021552693,0.0,0.0,1875648.3525154595,0.0,0.0,1432650.6835762626,0.0,0.0,1642668.1529925813,0.0,0.0,1624142.147424355,0.0,0.0,3526292.794432867,0.0,0.0 
 11/27  11:00:00,2167969.3638801924,0.0,0.0,396365.48504084087,0.0,0.0,506308.1852280479,0.0,0.0,1263373.2469529412,0.0,0.0,641391.7499030299,0.0,0.0,616996.6681685515,0.0,0.0,1650848.3013081374,0.0,0.0,910716.9226201592,0.0,0.0,1256247.4874998545,0.0,0.0,948491.430889568,0.0,0.0,1144564.398963421,0.0,0.0,1471583.254536169,0.0,0.0,2406982.955026257,0.0,0.0 
 11/27  12:00:00,2105737.2616749313,0.0,0.0,384464.69456091477,0.0,0.0,501625.72881100804,0.0,0.0,1219229.3203975433,0.0,0.0,620476.3199874656,0.0,0.0,599410.7658156692,0.0,0.0,1619783.0163617737,0.0,0.0,909767.9802983531,0.0,0.0,1309537.7990190925,0.0,0.0,970060.3063033087,0.0,0.0,1181164.8694316775,0.0,0.0,1499676.6877928523,0.0,0.0,2501980.1961344047,0.0,0.0 
 11/27  13:00:00,2101792.7912608422,0.0,0.0,383552.3243385402,0.0,0.0,501788.11382112245,0.0,0.0,1219870.8469023833,0.0,0.0,617772.8401328919,0.0,0.0,598563.9059680855,0.0,0.0,1695770.5504555407,0.0,0.0,909580.4685365942,0.0,0.0,1490115.6422551954,0.0,0.0,1104589.3558277434,0.0,0.0,1315711.3215672562,0.0,0.0,1520634.3807209546,0.0,0.0,2813680.3101621275,0.0,0.0 
 11/27  14:00:00,2137356.539221027,0.0,0.0,411257.0372974579,0.0,0.0,529215.579905153,0.0,0.0,1273596.6718517975,0.0,0.0,645634.487632347,0.0,0.0,627084.6120905151,0.0,0.0,1888237.9831143264,0.0,0.0,933900.825544753,0.0,0.0,1805245.161615269,0.0,0.0,1338858.070193628,0.0,0.0,1571659.2912325594,0.0,0.0,1656968.0131982455,0.0,0.0,3401781.3248772034,0.0,0.0 
 11/27  15:00:00,2222253.9202388567,0.0,0.0,421261.73875917296,0.0,0.0,531229.9606026617,0.0,0.0,1330797.0332976992,0.0,0.0,665216.7760811843,0.0,0.0,645272.0930709974,0.0,0.0,2035987.617991676,0.0,0.0,931310.0663723454,0.0,0.0,2022748.2308554344,0.0,0.0,1516636.4190098878,0.0,0.0,1738240.1510869022,0.0,0.0,1677421.0246044532,0.0,0.0,3803399.4150202135,0.0,0.0 
 11/27  16:00:00,2230998.6429382376,0.0,0.0,421940.30275748513,0.0,0.0,530951.0741298094,0.0,0.0,1346596.2518752222,0.0,0.0,669154.7969394807,0.0,0.0,638600.0797212077,0.0,0.0,2057626.3710152549,0.0,0.0,921466.8083946558,0.0,0.0,2069728.984386867,0.0,0.0,1560850.94553588,0.0,0.0,1777326.4823624538,0.0,0.0,1638407.8268894688,0.0,0.0,3899647.909956109,0.0,0.0 
