S,E,N,W
0.002254360164962035,0.00031772843806423645,0.0002968431841270102,0.0015049525722694319
0.019079259131380318,0.002876316051256197,0.0023431836849049544,0.01571462349962329
36.254486162465085,10.073035481805483,9.98251867862285,53.98995550672214
46.9884497088066,23.17311940211101,17.87123581394878,63.43568092717799
55.29678952327526,60.56954563925188,38.94765600204246,98.7224052043319
81.4930849092476,121.02218219580107,78.79061933346577,135.25974550198148
96.47278482300086,152.73976668611817,93.01021056947583,159.66896956676322
141.9771733027876,197.60473242893278,97.81181373888549,197.6678382089711
150.01087018977853,125.04095964440239,64.69364997722909,140.68399256487388
175.49656632411876,54.63839416847655,30.885429520746243,108.8286078937481
97.21074750794052,14.880817860656352,12.688363548652324,51.65884747917829
6.8282097340516215,0.4375083553923328,0.4818346384541714,3.607168202155973
