S,E,N,W
-66.86260889442478,14.826814832211465,48.21727455591528,15.094187538357064
-130.04916243354234,-32.842004767658004,24.12618600452628,-25.172513999144922
-51.801736831415724,-66.40335460598374,17.318174653356127,34.0597628602952
38.57927179607055,-33.535008222561856,23.06417729359281,68.98991189892108
56.43154034651409,52.78017348731536,39.759853125436464,100.30929794278653
81.4930849092476,121.02218219580107,78.79061933346577,135.25974550198148
96.47278482300086,152.73976668611817,93.01021056947583,159.66896956676322
141.9771733027876,197.60473242893278,97.81181373888549,197.6678382089711
150.01087018977853,125.04095964440239,64.69364997722909,140.68399256487388
175.2287759495492,51.939073433232714,32.57227926525518,110.55163438363972
42.996620587459546,-11.554130296821794,26.03606661727367,62.6361229437589
-112.37533396447924,7.784955166424876,48.34067028723071,8.80532033326023
